raceName,driverId,constructorId,number,grid,position,positionText,points,laps,time,millis,fastestlap,rank,fastestlaptime,fastestlapspeed,status
Chinese Grand Prix,max_verstappen,red_bull,33,16,3,3,15,56,+45.192,5901350.0,31,7.0,1:36.722,202.886,Finished
Chinese Grand Prix,ricciardo,red_bull,3,5,4,4,12,56,+46.035,5902193.0,36,8.0,1:36.791,202.741,Finished
Chinese Grand Prix,raikkonen,ferrari,7,4,5,5,10,56,+48.076,5904234.0,42,4.0,1:36.003,204.406,Finished
Chinese Grand Prix,bottas,mercedes,77,3,6,6,8,56,+48.808,5904966.0,41,3.0,1:35.849,204.734,Finished
Chinese Grand Prix,sainz,toro_rosso,55,11,7,7,6,56,+1:12.893,5929051.0,30,10.0,1:37.398,201.478,Finished
Chinese Grand Prix,kevin_magnussen,haas,20,12,8,8,4,55,,,35,11.0,1:37.528,201.209,+1 Lap
Chinese Grand Prix,perez,force_india,11,8,9,9,2,55,,,55,6.0,1:36.531,203.288,+1 Lap
Chinese Grand Prix,ocon,force_india,31,17,10,10,1,55,,,55,9.0,1:37.036,202.23,+1 Lap
Australian Grand Prix,vettel,ferrari,5,3,1,1,25,58,1:29:33.283,5373283.0,53,4.0,1:26.469,220.782,Finished
Australian Grand Prix,hamilton,mercedes,44,1,2,2,18,58,+5.036,5378319.0,50,3.0,1:26.444,220.845,Finished
Australian Grand Prix,raikkonen,ferrari,7,2,3,3,15,58,+6.309,5379592.0,57,2.0,1:26.373,221.027,Finished
Australian Grand Prix,ricciardo,red_bull,3,8,4,4,12,58,+7.069,5380352.0,54,1.0,1:25.945,222.128,Finished
Australian Grand Prix,alonso,mclaren,14,10,5,5,10,58,+27.886,5401169.0,57,7.0,1:26.978,219.489,Finished
Australian Grand Prix,max_verstappen,red_bull,33,4,6,6,8,58,+28.945,5402228.0,54,5.0,1:26.880,219.737,Finished
Australian Grand Prix,hulkenberg,renault,27,7,7,7,6,58,+32.671,5405954.0,57,9.0,1:27.081,219.23,Finished
Australian Grand Prix,bottas,mercedes,77,15,8,8,4,58,+34.339,5407622.0,54,8.0,1:27.019,219.386,Finished
Australian Grand Prix,vandoorne,mclaren,2,11,9,9,2,58,+34.921,5408204.0,57,6.0,1:26.958,219.54,Finished
Australian Grand Prix,sainz,renault,55,9,10,10,1,58,+45.722,5419005.0,51,12.0,1:27.944,217.079,Finished
Australian Grand Prix,perez,force_india,11,12,11,11,0,58,+46.817,5420100.0,51,11.0,1:27.633,217.849,Finished
Australian Grand Prix,ocon,force_india,31,14,12,12,0,58,+1:00.278,5433561.0,57,10.0,1:27.600,217.931,Finished
Australian Grand Prix,leclerc,sauber,16,18,13,13,0,58,+1:15.759,5449042.0,56,15.0,1:28.759,215.085,Finished
Australian Grand Prix,stroll,williams,18,13,14,14,0,58,+1:18.288,5451571.0,55,14.0,1:28.511,215.688,Finished
Australian Grand Prix,brendon_hartley,toro_rosso,28,16,15,15,0,57,,,57,13.0,1:28.176,216.507,+1 Lap
Australian Grand Prix,grosjean,haas,8,6,16,R,0,24,,,23,16.0,1:28.805,214.974,Wheel
Australian Grand Prix,kevin_magnussen,haas,20,5,17,R,0,22,,,21,17.0,1:29.534,213.224,Wheel
Australian Grand Prix,gasly,toro_rosso,10,20,18,R,0,13,,,13,18.0,1:30.649,210.601,Engine
Australian Grand Prix,ericsson,sauber,9,17,19,R,0,5,,,4,19.0,1:32.210,207.036,Steering
Australian Grand Prix,sirotkin,williams,35,19,20,R,0,4,,,3,20.0,1:32.573,206.224,Brakes
Bahrain Grand Prix,vettel,ferrari,5,1,1,1,25,57,1:32:01.940,5521940.0,21,7.0,1:34.453,206.274,Finished
Bahrain Grand Prix,bottas,mercedes,77,3,2,2,18,57,+0.699,5522639.0,22,1.0,1:33.740,207.842,Finished
Bahrain Grand Prix,hamilton,mercedes,44,9,3,3,15,57,+6.512,5528452.0,51,2.0,1:33.953,207.371,Finished
Bahrain Grand Prix,gasly,toro_rosso,10,5,4,4,12,57,+1:02.234,5584174.0,46,11.0,1:34.863,205.382,Finished
Bahrain Grand Prix,kevin_magnussen,haas,20,6,5,5,10,57,+1:15.046,5596986.0,29,5.0,1:34.327,206.549,Finished
Bahrain Grand Prix,hulkenberg,renault,27,7,6,6,8,57,+1:39.024,5620964.0,50,9.0,1:34.667,205.807,Finished
Bahrain Grand Prix,alonso,mclaren,14,13,7,7,6,56,,,47,4.0,1:34.168,206.898,+1 Lap
Bahrain Grand Prix,vandoorne,mclaren,2,14,8,8,4,56,,,30,16.0,1:35.131,204.803,+1 Lap
Bahrain Grand Prix,ericsson,sauber,9,17,9,9,2,56,,,26,15.0,1:35.093,204.885,+1 Lap
Bahrain Grand Prix,ocon,force_india,31,8,10,10,1,56,,,38,12.0,1:35.043,204.993,+1 Lap
Australian Grand Prix,bottas,mercedes,77,2,1,1,26,58,1:25:27.325,5127325.0,57,1.0,1:25.580,223.075,Finished
Australian Grand Prix,hamilton,mercedes,44,1,2,2,18,58,+20.886,5148211.0,57,2.0,1:26.057,221.839,Finished
Australian Grand Prix,max_verstappen,red_bull,33,4,3,3,15,58,+22.520,5149845.0,57,3.0,1:26.256,221.327,Finished
Australian Grand Prix,vettel,ferrari,5,3,4,4,12,58,+57.109,5184434.0,16,8.0,1:27.954,217.054,Finished
Australian Grand Prix,leclerc,ferrari,16,5,5,5,10,58,+58.203,5185528.0,58,4.0,1:26.926,219.621,Finished
Australian Grand Prix,kevin_magnussen,haas,20,7,6,6,8,58,+1:27.156,5214481.0,56,9.0,1:28.182,216.493,Finished
Australian Grand Prix,hulkenberg,renault,27,11,7,7,6,57,,,52,12.0,1:28.444,215.851,+1 Lap
Australian Grand Prix,raikkonen,alfa,7,9,8,8,4,57,,,52,11.0,1:28.270,216.277,+1 Lap
Australian Grand Prix,stroll,racing_point,18,16,9,9,2,57,,,29,7.0,1:27.568,218.011,+1 Lap
Australian Grand Prix,kvyat,toro_rosso,26,15,10,10,1,57,,,39,6.0,1:27.448,218.31,+1 Lap
Australian Grand Prix,gasly,red_bull,10,17,11,11,0,57,,,39,5.0,1:27.229,218.858,+1 Lap
Australian Grand Prix,norris,mclaren,4,8,12,12,0,57,,,17,16.0,1:28.555,215.581,+1 Lap
Australian Grand Prix,perez,racing_point,11,10,13,13,0,57,,,41,15.0,1:28.485,215.751,+1 Lap
Australian Grand Prix,albon,toro_rosso,23,13,14,14,0,57,,,43,10.0,1:28.188,216.478,+1 Lap
Australian Grand Prix,giovinazzi,alfa,99,14,15,15,0,57,,,29,14.0,1:28.479,215.766,+1 Lap
Australian Grand Prix,russell,williams,63,19,16,16,0,56,,,55,17.0,1:28.713,215.197,+2 Laps
Australian Grand Prix,kubica,williams,88,20,17,17,0,55,,,30,18.0,1:29.284,213.821,+3 Laps
Australian Grand Prix,grosjean,haas,8,6,18,R,0,29,,,17,13.0,1:28.462,215.807,Wheel
Australian Grand Prix,ricciardo,renault,3,12,19,R,0,28,,,18,19.0,1:29.848,212.478,Damage
Australian Grand Prix,sainz,mclaren,55,18,20,R,0,9,,,9,20.0,1:30.899,210.022,Engine
Bahrain Grand Prix,hamilton,mercedes,44,3,1,1,25,57,1:34:21.295,5661295.0,36,2.0,1:33.528,208.314,Finished
Bahrain Grand Prix,bottas,mercedes,77,4,2,2,18,57,+2.980,5664275.0,42,3.0,1:34.209,206.808,Finished
Bahrain Grand Prix,leclerc,ferrari,16,1,3,3,16,57,+6.131,5667426.0,38,1.0,1:33.411,208.575,Finished
Bahrain Grand Prix,max_verstappen,red_bull,33,5,4,4,12,57,+6.408,5667703.0,47,9.0,1:35.311,204.417,Finished
Bahrain Grand Prix,vettel,ferrari,5,2,5,5,10,57,+36.068,5697363.0,43,4.0,1:34.895,205.313,Finished
Bahrain Grand Prix,norris,mclaren,4,9,6,6,8,57,+45.754,5707049.0,14,12.0,1:35.777,203.422,Finished
Bahrain Grand Prix,raikkonen,alfa,7,8,7,7,6,57,+47.470,5708765.0,45,11.0,1:35.589,203.822,Finished
Bahrain Grand Prix,gasly,red_bull,10,13,8,8,4,57,+58.094,5719389.0,42,8.0,1:35.291,204.46,Finished
Bahrain Grand Prix,albon,toro_rosso,23,12,9,9,2,57,+1:02.697,5723992.0,39,16.0,1:36.752,201.372,Finished
Bahrain Grand Prix,perez,racing_point,11,14,10,10,1,57,+1:03.696,5724991.0,51,14.0,1:36.330,202.254,Finished
Austrian Grand Prix,bottas,mercedes,77,1,1,1,25,71,1:30:55.739,5455739.0,68,2.0,1:07.657,229.758,Finished
Austrian Grand Prix,leclerc,ferrari,16,7,2,2,18,71,+2.700,5458439.0,64,4.0,1:07.901,228.933,Finished
Austrian Grand Prix,norris,mclaren,4,3,3,3,16,71,+5.491,5461230.0,71,1.0,1:07.475,230.378,Finished
Austrian Grand Prix,hamilton,mercedes,44,5,4,4,12,71,+5.689,5461428.0,67,3.0,1:07.712,229.572,Finished
Austrian Grand Prix,sainz,mclaren,55,8,5,5,10,71,+8.903,5464642.0,63,5.0,1:07.974,228.687,Finished
Austrian Grand Prix,perez,racing_point,11,6,6,6,8,71,+15.092,5470831.0,63,6.0,1:08.305,227.579,Finished
Austrian Grand Prix,gasly,alphatauri,10,12,7,7,6,71,+16.682,5472421.0,64,11.0,1:09.025,225.205,Finished
Austrian Grand Prix,ocon,renault,31,14,8,8,4,71,+17.456,5473195.0,64,10.0,1:08.932,225.509,Finished
Austrian Grand Prix,giovinazzi,alfa,99,18,9,9,2,71,+21.146,5476885.0,70,9.0,1:08.796,225.954,Finished
Austrian Grand Prix,vettel,ferrari,5,11,10,10,1,71,+24.545,5480284.0,71,8.0,1:08.623,226.524,Finished
Austrian Grand Prix,latifi,williams,6,20,11,11,0,71,+31.650,5487389.0,63,16.0,1:09.662,223.146,Finished
Austrian Grand Prix,kvyat,alphatauri,26,13,12,12,0,69,,,50,13.0,1:09.135,224.847,Suspension
Austrian Grand Prix,albon,red_bull,23,4,13,13,0,67,,,50,7.0,1:08.432,227.156,Electronics
Austrian Grand Prix,raikkonen,alfa,7,19,14,R,0,53,,,48,12.0,1:09.031,225.185,Wheel
Austrian Grand Prix,russell,williams,63,17,15,R,0,49,,,49,14.0,1:09.317,224.256,Fuel pressure
Austrian Grand Prix,grosjean,haas,8,15,16,R,0,49,,,46,17.0,1:10.228,221.347,Brakes
Austrian Grand Prix,kevin_magnussen,haas,20,16,17,R,0,24,,,23,20.0,1:10.720,219.807,Brakes
Austrian Grand Prix,stroll,racing_point,18,9,18,R,0,20,,,4,18.0,1:10.326,221.039,Engine
Austrian Grand Prix,ricciardo,renault,3,10,19,R,0,17,,,8,19.0,1:10.610,220.15,Overheating
Austrian Grand Prix,max_verstappen,red_bull,33,2,20,R,0,11,,,5,15.0,1:09.351,224.146,Electronics
Styrian Grand Prix,hamilton,mercedes,44,1,1,1,25,71,1:22:50.683,4970683.0,68,3.0,1:06.719,232.989,Finished
Styrian Grand Prix,bottas,mercedes,77,4,2,2,18,71,+13.719,4984402.0,62,7.0,1:07.534,230.177,Finished
Styrian Grand Prix,max_verstappen,red_bull,33,2,3,3,15,71,+33.698,5004381.0,70,2.0,1:06.145,235.01,Finished
Styrian Grand Prix,albon,red_bull,23,6,4,4,12,71,+44.400,5015083.0,67,6.0,1:07.299,230.981,Finished
Styrian Grand Prix,norris,mclaren,4,9,5,5,10,71,+1:01.470,5032153.0,66,5.0,1:07.193,231.345,Finished
Styrian Grand Prix,perez,racing_point,11,17,6,6,8,71,+1:02.387,5033070.0,68,4.0,1:07.188,231.362,Finished
Styrian Grand Prix,stroll,racing_point,18,12,7,7,6,71,+1:02.453,5033136.0,65,10.0,1:07.833,229.162,Finished
Styrian Grand Prix,ricciardo,renault,3,8,8,8,4,71,+1:02.591,5033274.0,65,9.0,1:07.832,229.166,Finished
Styrian Grand Prix,sainz,mclaren,55,3,9,9,3,70,,,68,1.0,1:05.619,236.894,+1 Lap
Styrian Grand Prix,kvyat,alphatauri,26,13,10,10,1,70,,,60,13.0,1:08.378,227.336,+1 Lap
Bahrain Grand Prix,hamilton,mercedes,44,2,1,1,25,56,1:32:03.897,5523897.0,44,4.0,1:34.015,207.235,Finished
Bahrain Grand Prix,max_verstappen,red_bull,33,1,2,2,18,56,+0.745,5524642.0,41,2.0,1:33.228,208.984,Finished
Bahrain Grand Prix,bottas,mercedes,77,3,3,3,16,56,+37.383,5561280.0,56,1.0,1:32.090,211.566,Finished
Bahrain Grand Prix,norris,mclaren,4,7,4,4,12,56,+46.466,5570363.0,38,6.0,1:34.396,206.398,Finished
Bahrain Grand Prix,perez,red_bull,11,0,5,5,10,56,+52.047,5575944.0,44,3.0,1:33.970,207.334,Finished
Bahrain Grand Prix,leclerc,ferrari,16,4,6,6,8,56,+59.090,5582987.0,39,11.0,1:34.988,205.112,Finished
Bahrain Grand Prix,ricciardo,mclaren,3,6,7,7,6,56,+66.004,5589901.0,36,10.0,1:34.932,205.233,Finished
Bahrain Grand Prix,sainz,ferrari,55,8,8,8,4,56,+67.100,5590997.0,48,7.0,1:34.509,206.151,Finished
Bahrain Grand Prix,tsunoda,alphatauri,22,13,9,9,2,56,+85.692,5609589.0,38,8.0,1:34.761,205.603,Finished
Bahrain Grand Prix,stroll,aston_martin,18,10,10,10,1,56,+86.713,5610610.0,31,9.0,1:34.865,205.378,Finished
Bahrain Grand Prix,raikkonen,alfa,7,14,11,11,0,56,+88.864,5612761.0,45,14.0,1:35.192,204.672,Finished
Bahrain Grand Prix,giovinazzi,alfa,99,12,12,12,0,55,,,32,13.0,1:35.122,204.823,+1 Lap
Bahrain Grand Prix,ocon,alpine,31,16,13,13,0,55,,,33,15.0,1:35.250,204.548,+1 Lap
Bahrain Grand Prix,russell,williams,63,15,14,14,0,55,,,40,12.0,1:35.036,205.008,+1 Lap
Bahrain Grand Prix,vettel,aston_martin,5,20,15,15,0,55,,,26,16.0,1:35.566,203.871,+1 Lap
Bahrain Grand Prix,mick_schumacher,haas,47,18,16,16,0,55,,,38,18.0,1:36.134,202.667,+1 Lap
Bahrain Grand Prix,gasly,alphatauri,10,5,17,17,0,52,,,48,5.0,1:34.090,207.069,Retired
Bahrain Grand Prix,latifi,williams,6,17,18,18,0,51,,,16,19.0,1:36.602,201.685,Retired
Bahrain Grand Prix,alonso,alpine,14,9,19,R,0,32,,,31,17.0,1:36.063,202.816,Brakes
Bahrain Grand Prix,mazepin,haas,9,19,20,R,0,0,,,,,,,Accident
Emilia Romagna Grand Prix,max_verstappen,red_bull,33,3,1,1,25,63,2:02:34.598,7354598.0,60,2.0,1:17.524,227.96,Finished
Emilia Romagna Grand Prix,hamilton,mercedes,44,1,2,2,19,63,+22.000,7376598.0,60,1.0,1:16.702,230.403,Finished
Emilia Romagna Grand Prix,norris,mclaren,4,7,3,3,15,63,+23.702,7378300.0,63,3.0,1:18.259,225.819,Finished
Emilia Romagna Grand Prix,leclerc,ferrari,16,4,4,4,12,63,+25.579,7380177.0,60,6.0,1:18.379,225.473,Finished
Emilia Romagna Grand Prix,sainz,ferrari,55,11,5,5,10,63,+27.036,7381634.0,60,7.0,1:18.490,225.154,Finished
Emilia Romagna Grand Prix,ricciardo,mclaren,3,6,6,6,8,63,+51.220,7405818.0,54,12.0,1:19.341,222.739,Finished
Emilia Romagna Grand Prix,gasly,alphatauri,10,5,7,7,6,63,+52.818,7407416.0,52,9.0,1:18.994,223.718,Finished
Emilia Romagna Grand Prix,stroll,aston_martin,18,10,8,8,4,63,+56.909,7411507.0,59,8.0,1:18.782,224.32,Finished
Emilia Romagna Grand Prix,ocon,alpine,31,9,9,9,2,63,+65.704,7420302.0,62,15.0,1:19.422,222.512,Finished
Emilia Romagna Grand Prix,alonso,alpine,14,15,10,10,1,63,+66.561,7421159.0,62,14.0,1:19.417,222.526,Finished
Bahrain Grand Prix,leclerc,ferrari,16,1,1,1,26,57,1:37:33.584,5853584.0,51,1.0,1:34.570,206.018,Finished
Bahrain Grand Prix,sainz,ferrari,55,3,2,2,18,57,+5.598,5859182.0,52,3.0,1:35.740,203.501,Finished
Bahrain Grand Prix,hamilton,mercedes,44,5,3,3,15,57,+9.675,5863259.0,53,5.0,1:36.228,202.469,Finished
Bahrain Grand Prix,russell,mercedes,63,9,4,4,12,57,+11.211,5864795.0,56,6.0,1:36.302,202.313,Finished
Bahrain Grand Prix,kevin_magnussen,haas,20,7,5,5,10,57,+14.754,5868338.0,53,8.0,1:36.623,201.641,Finished
Bahrain Grand Prix,bottas,alfa,77,6,6,6,8,57,+16.119,5869703.0,53,7.0,1:36.599,201.691,Finished
Bahrain Grand Prix,ocon,alpine,31,11,7,7,6,57,+19.423,5873007.0,53,14.0,1:37.110,200.63,Finished
Bahrain Grand Prix,tsunoda,alphatauri,22,16,8,8,4,57,+20.386,5873970.0,53,13.0,1:37.104,200.642,Finished
Bahrain Grand Prix,alonso,alpine,14,8,9,9,2,57,+22.390,5875974.0,44,10.0,1:36.733,201.412,Finished
Bahrain Grand Prix,zhou,alfa,24,15,10,10,1,57,+23.064,5876648.0,39,9.0,1:36.685,201.512,Finished
Bahrain Grand Prix,mick_schumacher,haas,47,12,11,11,0,57,+32.574,5886158.0,37,11.0,1:36.956,200.948,Finished
Bahrain Grand Prix,stroll,aston_martin,18,19,12,12,0,57,+45.873,5899457.0,49,15.0,1:37.146,200.555,Finished
Bahrain Grand Prix,albon,williams,23,14,13,13,0,57,+53.932,5907516.0,50,18.0,1:37.355,200.125,Finished
Bahrain Grand Prix,ricciardo,mclaren,3,18,14,14,0,57,+54.975,5908559.0,50,16.0,1:37.261,200.318,Finished
Bahrain Grand Prix,norris,mclaren,4,13,15,15,0,57,+56.335,5909919.0,51,12.0,1:36.988,200.882,Finished
Bahrain Grand Prix,latifi,williams,6,20,16,16,0,57,+1:01.795,5915379.0,51,20.0,1:38.251,198.3,Finished
Bahrain Grand Prix,hulkenberg,aston_martin,27,17,17,17,0,57,+1:03.829,5917413.0,49,19.0,1:38.201,198.401,Finished
Bahrain Grand Prix,perez,red_bull,11,4,18,18,0,56,,,52,4.0,1:36.089,202.762,Fuel pressure
Bahrain Grand Prix,max_verstappen,red_bull,1,2,19,19,0,54,,,51,2.0,1:35.440,204.14,Fuel pressure
Bahrain Grand Prix,gasly,alphatauri,10,10,20,R,0,44,,,34,17.0,1:37.324,200.189,Power Unit
Saudi Arabian Grand Prix,max_verstappen,red_bull,1,4,1,1,25,50,1:24:19.293,5059293.0,50,2.0,1:31.772,242.191,Finished
Saudi Arabian Grand Prix,leclerc,ferrari,16,2,2,2,19,50,+0.549,5059842.0,48,1.0,1:31.634,242.556,Finished
Saudi Arabian Grand Prix,sainz,ferrari,55,3,3,3,15,50,+8.097,5067390.0,48,3.0,1:31.905,241.841,Finished
Saudi Arabian Grand Prix,perez,red_bull,11,1,4,4,12,50,+10.800,5070093.0,46,4.0,1:32.042,241.481,Finished
Saudi Arabian Grand Prix,russell,mercedes,63,6,5,5,10,50,+32.732,5092025.0,43,7.0,1:32.821,239.454,Finished
Saudi Arabian Grand Prix,ocon,alpine,31,5,6,6,8,50,+56.017,5115310.0,46,9.0,1:33.103,238.729,Finished
Saudi Arabian Grand Prix,norris,mclaren,4,11,7,7,6,50,+56.124,5115417.0,46,5.0,1:32.753,239.629,Finished
Saudi Arabian Grand Prix,gasly,alphatauri,10,9,8,8,4,50,+1:02.946,5122239.0,42,10.0,1:33.468,237.796,Finished
Saudi Arabian Grand Prix,kevin_magnussen,haas,20,10,9,9,2,50,+1:04.308,5123601.0,48,6.0,1:32.779,239.562,Finished
Saudi Arabian Grand Prix,hamilton,mercedes,44,15,10,10,1,50,+1:13.948,5133241.0,47,8.0,1:32.997,239.001,Finished
Bahrain Grand Prix,max_verstappen,red_bull,1,1,1,1,25,57,1:33:56.736,5636736.0,44,6.0,1:36.236,202.452,Finished
Bahrain Grand Prix,perez,red_bull,11,2,2,2,18,57,+11.987,5648723.0,37,7.0,1:36.344,202.225,Finished
Bahrain Grand Prix,alonso,aston_martin,14,5,3,3,15,57,+38.637,5675373.0,36,5.0,1:36.156,202.62,Finished
Bahrain Grand Prix,sainz,ferrari,55,4,4,4,12,57,+48.052,5684788.0,37,14.0,1:37.130,200.588,Finished
Bahrain Grand Prix,hamilton,mercedes,44,7,5,5,10,57,+50.977,5687713.0,36,10.0,1:36.546,201.802,Finished
Bahrain Grand Prix,stroll,aston_martin,18,8,6,6,8,57,+54.502,5691238.0,32,9.0,1:36.546,201.802,Finished
Bahrain Grand Prix,russell,mercedes,63,6,7,7,6,57,+55.873,5692609.0,33,17.0,1:37.221,200.401,Finished
Bahrain Grand Prix,bottas,alfa,77,12,8,8,4,57,+1:12.647,5709383.0,31,18.0,1:37.379,200.075,Finished
Bahrain Grand Prix,gasly,alpine,10,20,9,9,2,57,+1:13.753,5710489.0,42,2.0,1:35.068,204.939,Finished
Bahrain Grand Prix,albon,williams,23,15,10,10,1,57,+1:29.774,5726510.0,43,15.0,1:37.144,200.559,Finished
Bahrain Grand Prix,tsunoda,alphatauri,22,14,11,11,0,57,+1:30.870,5727606.0,42,12.0,1:36.637,201.612,Finished
Bahrain Grand Prix,sargeant,williams,2,16,12,12,0,56,,,42,4.0,1:36.037,202.871,+1 Lap
Bahrain Grand Prix,kevin_magnussen,haas,20,17,13,13,0,56,,,42,8.0,1:36.471,201.959,+1 Lap
Bahrain Grand Prix,de_vries,alphatauri,21,19,14,14,0,56,,,30,19.0,1:37.709,199.4,+1 Lap
Bahrain Grand Prix,hulkenberg,haas,27,10,15,15,0,56,,,42,11.0,1:36.616,201.656,+1 Lap
Bahrain Grand Prix,zhou,alfa,24,13,16,16,0,56,,,56,1.0,1:33.996,207.276,+1 Lap
Bahrain Grand Prix,norris,mclaren,4,11,17,17,0,55,,,51,3.0,1:35.822,203.327,+2 Laps
Bahrain Grand Prix,ocon,alpine,31,9,18,R,0,41,,,34,13.0,1:36.797,201.278,Mechanical
Bahrain Grand Prix,leclerc,ferrari,16,3,19,R,0,39,,,37,16.0,1:37.170,200.506,Engine
Bahrain Grand Prix,piastri,mclaren,81,18,20,R,0,13,,,3,20.0,1:40.691,193.494,Electrical
Saudi Arabian Grand Prix,perez,red_bull,11,1,1,1,25,50,1:21:14.894,4874894.0,38,2.0,1:32.188,241.098,Finished
Saudi Arabian Grand Prix,max_verstappen,red_bull,1,15,2,2,19,50,+5.355,4880249.0,50,1.0,1:31.906,241.838,Finished
Saudi Arabian Grand Prix,alonso,aston_martin,14,2,3,3,15,50,+20.728,4895622.0,50,3.0,1:32.240,240.962,Finished
Saudi Arabian Grand Prix,russell,mercedes,63,3,4,4,12,50,+25.866,4900760.0,50,4.0,1:32.433,240.459,Finished
Saudi Arabian Grand Prix,hamilton,mercedes,44,7,5,5,10,50,+31.065,4905959.0,47,6.0,1:32.941,239.145,Finished
Saudi Arabian Grand Prix,sainz,ferrari,55,4,6,6,8,50,+35.876,4910770.0,50,5.0,1:32.822,239.451,Finished
Saudi Arabian Grand Prix,leclerc,ferrari,16,12,7,7,6,50,+43.162,4918056.0,47,7.0,1:33.056,238.849,Finished
Saudi Arabian Grand Prix,ocon,alpine,31,6,8,8,4,50,+52.832,4927726.0,49,8.0,1:33.222,238.424,Finished
Saudi Arabian Grand Prix,gasly,alpine,10,9,9,9,2,50,+54.747,4929641.0,50,10.0,1:33.392,237.99,Finished
Saudi Arabian Grand Prix,kevin_magnussen,haas,20,13,10,10,1,50,+1:04.826,4939720.0,44,9.0,1:33.374,238.036,Finished
